indicator_id,ref_month,value,unit,adjustment,source,data_type
CONSUMER_CONFIDENCE,2024-11,86.20,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2024-12,86.40,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-01,87.50,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-02,88.40,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-03,87.50,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-04,87.80,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-05,88.00,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-06,87.90,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-07,89.00,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-08,89.20,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-09,89.60,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-10,89.40,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-11,90.30,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2025-12,89.50,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2026-01,90.60,,Level,NBS,Sentiment
CONSUMER_CONFIDENCE,2026-02,91.60,,Level,NBS,Sentiment
CPI_YOY,2024-11,0.20,%,YoY,NBS,Inflation
CPI_YOY,2024-12,0.10,%,YoY,NBS,Inflation
CPI_YOY,2025-01,0.50,%,YoY,NBS,Inflation
CPI_YOY,2025-02,-0.70,%,YoY,NBS,Inflation
CPI_YOY,2025-03,-0.10,%,YoY,NBS,Inflation
CPI_YOY,2025-04,-0.10,%,YoY,NBS,Inflation
CPI_YOY,2025-05,-0.10,%,YoY,NBS,Inflation
CPI_YOY,2025-06,0.10,%,YoY,NBS,Inflation
CPI_YOY,2025-07,0.00,%,YoY,NBS,Inflation
CPI_YOY,2025-08,-0.40,%,YoY,NBS,Inflation
CPI_YOY,2025-09,-0.30,%,YoY,NBS,Inflation
CPI_YOY,2025-10,0.20,%,YoY,NBS,Inflation
CPI_YOY,2025-11,0.70,%,YoY,NBS,Inflation
CPI_YOY,2025-12,0.80,%,YoY,NBS,Inflation
CPI_YOY,2026-01,0.20,%,YoY,NBS,Inflation
CPI_YOY,2026-02,1.30,%,YoY,NBS,Inflation
EXPORT_AMOUNT_CNY_YOY,2024-11,5.70,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2024-12,10.90,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2025-01,7.20,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2025-02,-2.10,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2025-03,13.20,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2025-04,9.10,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2025-05,6.10,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2025-06,7.10,%,YoY,GACC,Trade
EXPORT_AMOUNT_CNY_YOY,2025-07,7.90,%,YoY,GACC,Trade
