date,quarter_label,CGB_1Y_YTM,CGB_10Y_YTM,term_spread
2021-03-31,2021Q1,2.58,3.19,0.61
2021-06-30,2021Q2,2.43,3.08,0.65
2021-09-30,2021Q3,2.33,2.88,0.54
2021-12-31,2021Q4,2.24,2.78,0.53
2022-03-31,2022Q1,2.13,2.79,0.66
2022-06-30,2022Q2,1.95,2.82,0.87
2022-09-30,2022Q3,1.85,2.76,0.91
2022-12-31,2022Q4,2.1,2.84,0.74
2023-03-31,2023Q1,2.23,2.85,0.62
2023-06-30,2023Q2,1.87,2.64,0.76
2023-09-30,2023Q3,2.17,2.68,0.51
2023-12-31,2023Q4,2.08,2.56,0.48
2024-03-31,2024Q1,1.72,2.29,0.57
2024-06-30,2024Q2,1.54,2.21,0.67
2024-09-30,2024Q3,1.37,2.15,0.78
2024-12-31,2024Q4,1.08,1.68,0.59
2025-03-31,2025Q1,1.54,1.81,0.27
2025-06-30,2025Q2,1.34,1.65,0.31
2025-09-30,2025Q3,1.37,1.86,0.5
2025-12-31,2025Q4,1.34,1.85,0.51
2026-03-31,2026Q1,1.26,1.83,0.57
