month,CGB_1Y,CGB_3Y,CGB_10Y,AA_CREDIT_YIELD_3Y,CBOND_NEW_COMPOSITE_WEALTH,CBA02201.CS,CSI300_TR,CSI300,AU9999,NHCI
2002-01,2.3164,2.5414,3.2186,,100.8346,,,,,
2002-02,2.056,2.3386,3.1315,,101.5939,,,,,
2002-03,1.875,2.1408,2.8551,,102.7205,,,,,
2002-04,1.9305,2.0682,2.5022,,104.2087,,,,,
2002-05,1.8519,1.9866,2.381,,105.4185,,,,,
2002-06,1.7864,1.9944,2.5798,,104.7085,,,,,
2002-07,1.7808,2.074,2.869,,103.9327,,,,,
2002-08,1.8121,2.1508,3.0595,,103.0126,,,,,
2002-09,1.6107,2.0367,3.1397,,103.3452,,,,,
2002-10,2.0243,2.2881,2.9978,,102.8093,,,,,
2002-11,1.6542,2.1896,3.5248,,102.9823,,,,,
2002-12,2.0946,2.3988,3.1776,,103.577,,,,,
2003-01,2.1187,2.3951,3.0984,,103.9306,,,,,
2003-02,1.2909,1.8086,3.1225,,104.3218,,,,,
2003-03,2.05,2.2833,2.9228,,104.772,,,,,
2003-04,2.1879,2.3441,2.834,,105.2485,,,,,
2003-05,2.0392,2.255,2.8717,,105.5363,,,,,
2003-06,2.0458,2.3196,3.0821,,105.2934,,,,,
2003-07,2.3117,2.4828,2.9294,,105.7852,,,,,
2003-08,2.5643,2.6199,2.831,,105.7848,,,,,
2003-09,2.3225,2.5869,3.2369,,104.9519,,,,,
2003-10,2.7334,2.9101,3.3235,,104.3326,,,,,
2003-11,2.0039,2.5285,3.933,,104.2484,,,,,
2003-12,1.9806,2.3597,3.3602,,105.3398,,,,,
2004-01,2.3698,2.7658,3.8706,,104.9063,,,,108.09,
2004-02,2.4287,2.8413,3.8105,,105.522,,,,106.94,
2004-03,2.395,2.7984,3.9169,,105.1857,,,,112.21,
2004-04,2.8362,3.2116,4.2841,,103.7836,,,,104.54,
2004-05,3.0515,3.4663,4.6123,,104.1039,,,,105.13,
2004-06,3.0914,3.4112,4.348,,104.0023,,,,104.71,1007.12
2004-07,2.7407,3.2372,4.6018,,104.6238,,,,104.16,965.71
2004-08,3.0397,3.7048,5.1676,,104.7494,,,,108.23,979.1
2004-09,2.9554,3.5547,5.1266,,104.6277,,,,108.68,997.0
2004-10,3.2635,3.6881,4.8246,,104.8669,,,,113.2,958.46
2004-11,3.0084,3.6667,5.3419,,104.846,,,,120.5,979.04
2004-12,2.9202,3.4883,4.7332,,105.7989,,1000.0,,118.08,974.03
2005-01,2.8151,3.3957,4.8982,,106.3875,,954.88,954.88,113.32,969.32
2005-02,2.7235,3.3206,4.8334,,107.3028,,1039.99,1039.99,116.45,1036.34
2005-03,2.6001,3.0035,4.1203,,108.1695,,942.2,942.2,114.08,1074.87
2005-04,2.6853,3.0529,4.0441,,109.3091,,932.4,932.4,115.2,1055.44
2005-05,2.4216,2.8116,3.8469,,109.8963,,855.95,855.95,111.26,1069.56
2005-06,2.1058,2.5367,3.653,,110.9913,,878.69,878.69,115.45,1087.64
2005-07,1.6115,2.1057,3.3874,,111.9497,100.23,888.54,888.16,111.67,1105.58
2005-08,1.4272,2.0243,3.5608,,112.1777,100.44,939.45,927.92,113.4,1093.86
2005-09,1.3577,1.8788,3.2404,,112.8663,100.55,928.78,917.39,121.84,1103.74
2005-10,1.426,1.8675,3.0613,,113.3405,100.76,884.12,876.28,122.41,1108.3
2005-11,1.785,2.2061,3.3255,,112.7635,100.76,879.12,873.83,129.0,1088.21
2005-12,1.7782,2.1438,3.1216,,113.399,100.83,923.45,923.45,133.55,1167.08
2006-01,1.6571,2.0097,2.9795,,114.2408,101.13,1009.6,1009.6,143.95,1239.5
2006-02,1.703,2.026,2.9266,,114.2639,101.19,1053.01,1053.01,143.44,1205.5
2006-03,1.71,2.1355,2.94,,114.5049,101.38,1061.09,1061.09,150.4,1231.01
2006-04,1.725,2.24,3.0,,114.4792,101.48,1173.67,1172.35,164.39,1323.29
2006-05,1.7373,2.24,3.02,,114.604,101.63,1373.19,1365.45,168.83,1392.46
2006-06,2.01,2.48,3.165,,114.1232,101.69,1413.07,1393.96,154.02,1300.96
2006-07,2.23,2.5209,3.26,,114.0682,101.77,1316.29,1294.33,163.1,1277.94
2006-08,2.031,2.451,3.238,,114.574,102.05,1362.68,1338.69,159.15,1228.82
2006-09,2.015,2.361,2.999,,115.4246,102.32,1429.71,1403.27,153.51,1237.53
2006-10,2.0104,2.3215,2.9512,,115.8087,102.44,1492.08,1464.47,152.1,1239.51
2006-11,2.0508,2.3713,2.9781,,115.9999,102.63,1746.67,1714.36,160.9,1247.92
2006-12,2.089,2.4413,3.0269,,116.1421,102.89,2079.9,2041.05,159.34,1247.22
2007-01,2.07,2.4711,3.0671,,116.3816,103.13,2430.74,2385.33,161.22,1215.5
2007-02,2.135,2.5365,3.1466,,116.4859,103.33,2593.02,2544.57,167.25,1263.45
2007-03,2.25,2.6455,3.4338,,116.4069,103.56,2834.75,2781.78,165.36,1295.37
2007-04,2.2879,2.8511,3.5916,,116.3546,103.79,3627.87,3558.71,168.23,1295.81
2007-05,2.49,3.1608,4.06,3.8833,115.9633,104.0,4008.88,3927.95,162.16,1264.56
2007-06,2.68,3.4851,4.45,4.1937,115.1973,104.18,3853.54,3764.08,158.8,1226.72
2007-07,2.8525,3.3898,4.3401,4.6147,115.5274,104.47,4573.33,4460.56,162.21,1280.22
2007-08,2.8258,3.4466,4.2743,4.4478,116.0693,104.75,5432.75,5296.81,162.03,1293.99
2007-09,3.1766,3.531,4.3877,4.9764,115.9772,104.98,5724.4,5580.81,178.2,1348.75
2007-10,3.36,3.72,4.4937,5.0606,116.0087,105.14,5835.21,5688.54,188.68,1365.64
2007-11,3.77,4.06,4.5086,5.3341,115.6872,105.29,4859.55,4737.41,190.23,1330.96
2007-12,3.6774,3.9922,4.4253,5.4288,116.1804,105.67,5475.9,5338.27,195.03,1362.77
2008-01,3.43,3.89,4.1937,5.5446,116.9878,106.06,4739.52,4620.4,213.98,1367.36
2008-02,3.31,3.68,4.1283,5.5133,117.6717,106.38,4795.07,4674.55,221.35,1496.85
2008-03,3.1081,3.6443,4.046,5.4954,118.3451,106.75,3888.42,3790.53,212.0,1385.54
2008-04,3.225,3.669,4.0725,5.5751,118.6539,107.08,4062.94,3959.12,198.13,1370.06
2008-05,3.359,3.703,4.1589,5.6027,118.8861,107.4,3711.73,3611.33,195.79,1393.34
2008-06,3.5467,3.945,4.5285,5.6397,118.6127,107.72,2882.43,2791.82,204.59,1473.95
2008-07,3.5405,3.9285,4.4401,5.74,118.9689,108.09,2902.64,2805.21,201.0,1405.15
2008-08,3.487,3.7681,4.2234,5.7389,119.9098,108.48,2475.64,2391.64,183.98,1333.2
2008-09,3.3481,3.3919,3.7155,5.3086,122.1143,108.9,2323.22,2243.66,192.75,1225.15
2008-10,2.527,2.5605,3.0751,4.5549,125.0604,109.7,1722.99,1663.66,164.0,949.73
2008-11,1.8991,1.9838,2.9905,4.03,126.4326,110.38,1895.91,1829.92,179.01,891.25
2008-12,1.102,1.323,2.7521,3.6986,128.3216,111.16,1883.37,1817.72,190.65,885.11
2009-01,1.0884,1.4432,3.0368,3.6272,127.712,111.18,2106.09,2032.68,188.49,939.13
2009-02,1.0119,1.6935,3.1508,3.5576,127.6517,111.31,2217.79,2140.49,207.51,964.12
2009-03,0.967,1.6167,3.1612,3.4572,127.8652,111.5,2598.36,2507.79,202.56,1052.32
2009-04,1.0006,1.7743,3.1072,3.725,127.8247,111.59,2718.49,2622.93,197.75,1098.69
2009-05,0.9605,1.605,3.0409,3.5332,128.3851,111.76,2864.81,2759.71,208.69,1122.44
2009-06,0.981,1.8022,3.2403,3.8402,128.2686,111.83,3303.17,3166.47,207.41,1159.31
2009-07,1.6408,2.4311,3.503,4.3472,127.4755,111.82,3902.26,3734.62,206.26,1207.92
2009-08,1.6023,2.3391,3.4805,4.3953,127.8034,112.01,2958.4,2830.27,209.85,1239.57
2009-09,1.4455,2.3149,3.5132,4.7692,127.793,112.18,3142.84,3004.8,219.71,1206.1
2009-10,1.5171,2.4817,3.6886,4.9735,127.6908,112.31,3431.08,3280.37,230.45,1266.9
2009-11,1.4821,2.3645,3.5569,5.025,128.1861,112.48,3673.0,3511.67,258.25,1342.04
2009-12,1.4953,2.4374,3.6422,4.9143,128.5032,112.64,3739.99,3575.68,244.5,1422.2
2010-01,1.6529,2.5063,3.58,4.6496,128.9535,112.82,3351.39,3204.16,239.7,1329.75
2010-02,1.6294,2.4566,3.3753,4.5711,129.8012,113.02,3432.46,3281.67,243.54,1378.03
2010-03,1.5501,2.3318,3.4818,4.3481,130.5083,113.26,3499.54,3345.61,244.57,1375.6
2010-04,1.5892,2.3059,3.3565,4.1703,131.1865,113.42,3210.61,3067.36,257.26,1359.88
2010-05,1.8162,2.3039,3.243,4.136,131.7527,113.51,2909.36,2773.26,266.01,1292.05
2010-06,2.1346,2.3997,3.279,4.2233,131.809,113.54,2696.46,2563.07,271.44,1252.98
2010-07,1.9318,2.32,3.2996,4.0207,132.5175,113.88,3029.91,2868.85,255.8,1311.77
2010-08,1.9163,2.3341,3.2301,3.9212,133.0377,114.12,3066.71,2903.19,270.63,1343.04
2010-09,1.9459,2.3473,3.3183,4.1789,132.982,114.29,3103.23,2935.57,282.1,1397.05
2010-10,2.043,2.6137,3.6821,4.543,132.1395,114.48,3573.01,3379.98,289.2,1476.54
2010-11,2.7925,3.2907,3.971,5.372,130.3201,114.33,3316.14,3136.99,295.08,1467.24
2010-12,3.3,3.41,3.8799,5.2979,131.0211,114.46,3306.94,3128.26,301.8,1593.43
2011-01,3.1527,3.3612,4.0187,5.3781,131.048,114.72,3252.23,3076.51,285.7,1631.75
2011-02,3.0,3.3574,3.9314,5.6285,131.2884,115.15,3424.69,3239.56,299.6,1611.74
2011-03,2.8734,3.2328,3.912,5.7585,131.839,115.54,3407.97,3223.29,302.16,1557.59
2011-04,2.8094,3.2594,3.8713,5.6375,132.3772,115.83,3376.42,3192.72,320.17,1526.16
2011-05,3.0348,3.2809,3.8311,5.6411,132.8288,116.11,3178.2,3001.56,320.64,1525.62
2011-06,3.4742,3.47,3.8857,5.7928,132.4263,116.21,3249.17,3044.09,314.7,1505.6
2011-07,3.7339,3.7126,4.0477,6.2907,131.7212,116.41,3179.51,2972.08,334.0,1559.18
2011-08,3.9174,3.9108,4.105,6.6628,131.8243,116.72,3046.65,2846.78,377.69,1534.66
2011-09,3.6069,3.7119,3.8605,7.1532,132.7792,117.25,2763.53,2581.35,338.49,1362.93
2011-10,3.1398,3.4902,3.7607,7.038,134.6511,117.82,2885.58,2695.31,350.49,1351.1
2011-11,2.7366,3.0994,3.6091,6.8133,136.2417,118.34,2699.74,2521.52,351.77,1309.06
2011-12,2.7167,2.864,3.4211,6.7406,137.7031,118.69,2511.63,2345.74,319.8,1323.16
2012-01,2.7658,2.8893,3.4064,6.4663,138.7639,119.13,2638.53,2464.26,354.16,1393.18
2012-02,2.9475,3.0602,3.534,6.2508,138.4534,119.5,2820.43,2634.14,361.96,1422.44
2012-03,2.8355,2.9225,3.5004,6.0946,138.9382,119.98,2628.72,2454.9,339.04,1404.74
2012-04,2.8562,2.9582,3.5391,5.6598,139.2292,120.37,2813.18,2626.16,336.09,1404.66
2012-05,2.2307,2.4454,3.3443,5.1053,141.3857,121.2,2827.63,2632.04,321.75,1314.19
2012-06,2.342,2.5235,3.3253,4.8865,141.8743,121.42,2670.81,2461.61,322.49,1310.63
2012-07,2.3077,2.6257,3.2915,4.9033,142.3204,121.72,2542.33,2332.92,332.35,1307.82
2012-08,2.6806,2.9766,3.3928,5.4598,141.7468,121.84,2407.08,2204.87,339.69,1302.97
2012-09,2.7921,3.0665,3.4574,5.6076,141.6713,122.08,2506.22,2293.11,360.03,1351.38
2012-10,2.9327,3.04,3.5739,5.4839,141.9826,122.48,2464.59,2254.82,343.94,1328.96
2012-11,2.8834,3.0534,3.5332,5.4949,142.4085,122.8,2338.81,2139.66,346.02,1322.35
2012-12,2.905,3.0956,3.5738,5.4829,142.7568,123.17,2757.77,2522.95,334.5,1378.96
2013-01,2.8047,3.1129,3.6054,5.2077,143.5933,123.66,2936.96,2686.88,336.8,1406.43
2013-02,2.7612,3.1078,3.5957,5.0766,144.3294,124.03,2922.14,2673.33,323.99,1358.2
2013-03,2.679,3.0917,3.5392,5.151,144.8163,124.36,2727.51,2495.08,320.23,1293.57
2013-04,2.7842,2.975,3.4314,5.1091,145.7612,124.71,2675.94,2447.31,296.5,1226.4
2013-05,2.8682,3.0607,3.4399,4.9974,146.6039,125.08,2856.77,2606.43,281.5,1226.5
2013-06,3.4812,3.2033,3.5125,5.3814,146.1482,124.86,2438.25,2200.64,243.5,1182.59
2013-07,3.4908,3.5551,3.7214,5.7334,145.7451,125.42,2451.31,2193.02,265.8,1193.39
2013-08,3.6186,3.8438,4.0354,6.0098,144.7978,125.8,2589.87,2313.91,277.6,1251.7
2013-09,3.5451,3.7873,3.9954,5.9952,144.7779,126.29,2699.12,2409.04,265.5,1245.89
2013-10,3.9752,4.0099,4.1806,6.3369,143.9536,126.56,2659.69,2373.72,262.25,1237.58
2013-11,3.9787,4.2652,4.3612,7.155,142.6775,126.76,2732.79,2438.94,244.8,1234.83
2013-12,4.2189,4.4162,4.5518,7.3569,142.3383,127.27,2610.75,2330.03,236.46,1208.4
2014-01,3.6094,4.0398,4.5019,7.2815,143.7103,128.17,2467.83,2202.45,246.4,1156.54
2014-02,3.2775,3.7407,4.4276,6.6945,146.0489,129.06,2441.65,2178.97,262.76,1138.27
2014-03,3.0901,3.8261,4.5004,6.9014,145.8541,129.49,2405.3,2146.3,257.9,1127.56
2014-04,3.5774,3.9541,4.3002,6.5588,147.331,130.13,2420.9,2158.66,260.59,1119.49
2014-05,3.3589,3.8622,4.0714,6.2206,149.5159,130.76,2425.42,2156.46,252.99,1116.75
2014-06,3.3814,3.7822,4.0612,6.0787,150.6288,131.29,2457.31,2165.12,261.99,1126.37
2014-07,3.738,3.9286,4.2655,6.0186,150.3957,131.76,2701.33,2350.25,257.8,1094.55
2014-08,3.8103,3.9555,4.2361,5.8038,151.4629,132.23,2690.75,2338.29,255.0,1064.81
2014-09,3.7401,3.8121,3.9824,5.7838,153.1474,132.81,2821.67,2450.99,241.24,1009.01
2014-10,3.3555,3.4376,3.7559,5.3235,155.9491,133.63,2887.77,2508.32,230.44,1025.18
2014-11,3.0347,3.2913,3.5249,5.0483,157.9232,134.06,3233.96,2808.82,235.5,998.85
2014-12,3.2586,3.3631,3.6219,5.8522,157.0586,134.28,4068.82,3533.71,240.6,1008.5
2015-01,3.0963,3.2198,3.5019,5.4622,158.7366,134.89,3955.35,3434.39,253.2,968.25
2015-02,3.0396,3.1311,3.3602,5.2465,160.1032,135.43,4114.8,3572.84,244.84,1005.59
2015-03,3.2236,3.3066,3.6483,5.74,158.2186,135.78,4665.73,4051.2,235.55,973.41
